name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,genre
Where You Want,Where You Want,Riton,6/9/2023,138773,43,0.175,0.549,0.592,1.69E-05,0.0968,-6.498,0.0912,127.998,0.485,4,5,0,spotify:track:43wKRbV4ZvC6AoCR05zGMh,2023,edm
"1, 2 Step (Supersonic)","1, 2 Step (Supersonic)",SIDEPIECE,6/3/2022,176640,41,0.000747,0.856,0.851,0.641,0.0585,-6.006,0.0699,124.99,0.654,4,1,1,spotify:track:4ndFwD5xjLgJxGExGRoQYd,2022,edm
2 Things,2 Things,Don Diablo,9/30/2022,191250,43,0.0702,0.685,0.813,0.0327,0.218,-5.163,0.0387,127.994,0.165,4,9,1,spotify:track:23YAweZPLgWqOTJdpvSv1O,2022,edm
Calling (Lose My Mind) - Radio Edit,EDM Hits,Various Artists,4/3/2020,205440,55,0.00849,0.416,0.85,0.000175,0.204,-4.91,0.0455,125.096,0.142,4,1,0,spotify:track:6LNjIsgHNs4q75uPt4rYf6,2020,edm
Danza Kuduro - Tiësto Remix,Danza Kuduro (Tiësto Remix),Don Omar,4/12/2024,218880,58,0.00269,0.816,0.808,0.919,0.0942,-5.042,0.0433,125.006,0.486,4,9,0,spotify:track:64tld7huCbqobyTfV5oBZR,2024,edm
Gecko (Overdrive) - Radio Edit,Gecko (Overdrive) [Radio Edit],Oliver Heldens,6/3/2014,165440,67,0.00521,0.609,0.885,1.15E-05,0.336,-5.469,0.0642,124.959,0.76,4,0,1,spotify:track:483XiZ5o13Cc1zoWV7jGml,2014,edm
Gimme Some Keys,Gimme Some Keys (Remixes),Matroda,12/16/2022,169444,55,0.00222,0.802,0.725,0.819,0.064,-5.218,0.0521,124.992,0.864,4,11,0,spotify:track:5lbFVZ3g63LLssXLKirfjA,2022,edm
in2minds,in2minds,Chris Lake,9/20/2024,201979,61,0.00314,0.707,0.914,0.809,0.295,-6.851,0.101,136.045,0.619,4,9,1,spotify:track:3zaExCzGSQDEAI03RfneN0,2024,edm
Working For It,GENERATIONWHY,ZHU,7/29/2016,231813,58,0.0971,0.776,0.715,0.0131,0.247,-6.587,0.0505,99.951,0.502,4,5,0,spotify:track:2HJQcyUpmUuvzS5vBAICIc,2016,edm
"World, Hold On - FISHER Rework","World, Hold On (FISHER Rework)",Bob Sinclar,9/2/2022,178304,66,0.00614,0.772,0.882,0.00627,0.136,-5.242,0.0589,127.006,0.891,4,1,0,spotify:track:6quGF3Kvzd5WYEEuCmvCe1,2022,edm
